task_id,title,description,category,priority,assignee,created_date,deadline,estimated_hours,clean_text
1,"When possible, configure auto-scaling fo","When possible, configure auto-scaling for user profile during peak checkout",DevOps,Medium,sneha,2025-02-14,2025-02-27,7.2,possibl configur auto scale user profil peak checkout
2,Whenever convenient — login fails with e,Whenever convenient — login fails with error 500 after checkout attempts,Bug,Low,sneha,2025-08-03,2025-08-23,4.5,conveni login fail error checkout attempt
3,Optimize database query for notification,Optimize database query for notifications table,Backend,Medium,arjun,2025-06-22,2025-07-01,4.1,optim databas queri notif tabl
4,Low priority — improve accessibility of ,Low priority — improve accessibility of search form fields,UI/UX,Low,vikram,2025-07-13,2025-08-01,4.1,low prioriti improv access search form field
5,"When possible, docs missing for search c","When possible, docs missing for search configuration under monthly",Documentation,Medium,priya,2025-05-29,2025-06-07,13.9,possibl doc miss search configur monthli
6,Low priority — increase test coverage fo,Low priority — increase test coverage for auth edge cases,Testing,Low,neha,2025-02-06,2025-03-01,8.6,low prioriti increas test coverag auth edg case
7,Implement export to CSV for admin report,Implement export to CSV for admin reports,Feature Request,Medium,neha,2025-10-13,2025-10-23,3.4,implement export csv admin report
8,Update API docs for the notifications en,Update API docs for the notifications endpoint,Feature Request,Medium,sneha,2025-04-19,2025-05-01,7.4,updat api doc notif endpoint
9,Time-sensitive — configure auto-scaling ,Time-sensitive — configure auto-scaling for user profile during peak checkout,DevOps,High,vikram,2025-04-23,2025-04-28,6.0,time sensit configur auto scale user profil peak checkout
10,Whenever convenient — redesign the payme,Whenever convenient — redesign the payment dashboard for better readability,UI/UX,Low,sneha,2025-02-02,2025-02-24,0.6,conveni redesign payment dashboard better readabl
11,Server-side reporting logic fails under ,Server-side reporting logic fails under multiple,Backend,Urgent,neha,2025-10-02,2025-10-05,2.0,server report logic fail multipl
12,Need to fix the problem explaining admin,Need to fix the problem explaining admin setup,Documentation,Low,vikram,2025-09-14,2025-10-04,6.3,need fix problem explain admin setup
13,Critical — memory leak detected in auth ,Critical — memory leak detected in auth module during monthly,Bug,Urgent,vikram,2025-09-29,2025-09-30,13.1,critic memori leak detect auth modul monthli
14,Whenever convenient — update API docs fo,Whenever convenient — update API docs for the notifications endpoint,Documentation,Low,arjun,2025-02-13,2025-03-07,4.2,conveni updat api doc notif endpoint
15,"When possible, fix flaky integration tes","When possible, fix flaky integration test in auth during checkout",Testing,Medium,vikram,2025-08-05,2025-08-15,3.2,possibl fix flaki integr test auth checkout
16,Please prioritize — fix flaky integratio,Please prioritize — fix flaky integration test in search during signup,Testing,High,priya,2025-08-20,2025-08-24,5.4,priorit fix flaki integr test search signup
17,Low priority — add dark mode support to ,Low priority — add dark mode support to the reporting page,Feature Request,Low,arjun,2025-01-31,2025-02-20,3.0,low prioriti add dark mode support report page
18,Critical — application crashes when mobi,Critical — application crashes when mobile is clicked on the user profile page,Bug,Urgent,sneha,2025-10-20,2025-10-25,4.0,critic applic crash mobil click user profil page
19,Please prioritize — add notification sys,Please prioritize — add notification system for checkout events,Feature Request,High,arjun,2025-01-28,2025-02-01,4.9,priorit add notif checkout event
20,Please prioritize — redesign the user pr,Please prioritize — redesign the user profile dashboard for better readability,UI/UX,High,arjun,2025-08-25,2025-08-30,1.9,priorit redesign user profil dashboard better readabl
21,Visual inconsistency on payment during s,Visual inconsistency on payment during submit button,UI/UX,High,sneha,2025-03-27,2025-04-03,8.9,visual inconsist payment submit button
22,Please investigate the issue layout for ,Please investigate the issue layout for user profile,UI/UX,Low,sneha,2025-08-21,2025-09-11,1.6,investig issu layout user profil
23,Critical — deployment task affecting aut,Critical — deployment task affecting auth during signup,DevOps,Urgent,arjun,2025-10-24,2025-10-29,1.4,critic deploy task affect auth signup
24,Set up CI/CD pipeline for admin service,Set up CI/CD pipeline for admin service,DevOps,Medium,vikram,2025-04-06,2025-04-15,5.8,set pipelin admin servic
25,Time-sensitive — login fails with error ,Time-sensitive — login fails with error 500 after peak load attempts,Bug,High,vikram,2025-10-26,2025-11-03,8.4,time sensit login fail error peak load attempt
26,High priority: write onboarding guide fo,High priority: write onboarding guide for auth module,Documentation,High,rohan,2025-06-03,2025-06-10,5.7,high prioriti write onboard guid auth modul
27,Blocking release — write unit tests for ,Blocking release — write unit tests for reporting module,Testing,Urgent,priya,2025-06-28,2025-06-29,4.6,block releas write unit test report modul
28,Need to resolve the request explaining r,Need to resolve the request explaining reporting setup,Documentation,Low,neha,2025-09-28,2025-10-17,3.9,need resolv request explain report setup
29,Write unit tests for search module,Write unit tests for search module,Testing,Medium,priya,2025-05-25,2025-06-07,3.4,write unit test search modul
30,"When possible, configure auto-scaling fo","When possible, configure auto-scaling for admin during peak mobile",DevOps,Medium,arjun,2025-05-22,2025-05-31,10.3,possibl configur auto scale admin peak mobil
31,Document deployment steps for checkout e,Document deployment steps for checkout environment,Documentation,Medium,neha,2025-02-27,2025-03-08,6.4,document deploy step checkout environ
32,Allow users to filter reporting by mobil,Allow users to filter reporting by mobile,Feature Request,Medium,priya,2025-01-21,2025-02-01,3.7,allow user filter report mobil
33,Set up CI/CD pipeline for notifications ,Set up CI/CD pipeline for notifications service,DevOps,Medium,priya,2025-05-02,2025-05-12,2.8,set pipelin notif servic
34,Whenever convenient — improve accessibil,Whenever convenient — improve accessibility of admin form fields,UI/UX,Low,priya,2025-01-20,2025-02-11,7.8,conveni improv access admin form field
35,High priority: add notification system f,High priority: add notification system for multiple events,Feature Request,High,rohan,2025-05-23,2025-05-27,10.2,high prioriti add notif multipl event
36,Need to handle the issue explaining noti,Need to handle the issue explaining notifications setup,Documentation,Medium,arjun,2025-05-16,2025-05-25,9.5,need handl issu explain notif setup
37,Add caching layer to reporting API,Add caching layer to reporting API,Backend,Medium,arjun,2025-01-23,2025-02-04,2.4,add cach layer report api
38,Blocking release — server-side auth logi,Blocking release — server-side auth logic fails under signup,Backend,Urgent,vikram,2025-03-05,2025-03-08,3.9,block releas server auth logic fail signup
39,Document deployment steps for peak load ,Document deployment steps for peak load environment,Documentation,Medium,vikram,2025-07-14,2025-07-24,3.4,document deploy step peak load environ
40,"When possible, server-side payment logic","When possible, server-side payment logic fails under monthly",Backend,Medium,sneha,2025-06-14,2025-06-26,4.3,possibl server payment logic fail monthli
41,"When possible, visual inconsistency on n","When possible, visual inconsistency on notifications during peak load",UI/UX,Medium,priya,2025-06-21,2025-06-30,8.9,possibl visual inconsist notif peak load
42,Fix broken deployment on checkout server,Fix broken deployment on checkout server,DevOps,Medium,sneha,2025-02-07,2025-02-19,12.3,fix broken deploy checkout server
43,High priority: please review the task re,High priority: please review the task related to admin infrastructure,DevOps,High,priya,2025-02-24,2025-03-03,6.5,high prioriti review task relat admin infrastructur
